culture.A,median_dist,mean_dist,sd_dist,max_dist,median_jaccard,mean_jaccard,sd_jaccard,max_jaccard,pearson,kendall,spearman
Proto-Aurignacian,616731.8645614589,621128.9377873394,371882.54624628235,1387057.565786417,0.5714285714285714,0.5610495887013055,0.16516227597786004,1,-0.06877487647072762,-0.04524553934038441,-0.07115381963343785
Robberg,951675.9630656521,679133.0257817883,476675.4621355289,1133572.1699243863,0.4,0.4483193277310924,0.16630064976555256,0.7142857142857143,-0.8314790041275862,-0.75,-0.8551816901641545
Sangoan,2631039.9637640794,1871956.5970069608,1297133.61939842,3410722.5385022815,0.29285714285714287,0.3413499102523493,0.18658977529866952,1,-0.31676452964520696,-0.17418697798245003,-0.2640229472684589
Solutrean,250506.4621077712,219918.07300704328,170191.1514116258,763575.4704936786,0.5454545454545454,0.5427911230440033,0.1626040989368472,1,-0.5267475297404839,-0.3706802601167387,-0.5038572534005105
Still Bay,521454.08875317697,637479.5084314493,486856.82844498364,1380097.4739371692,0.375,0.4053909255095612,0.2061966944159043,1,-0.10781578931718927,-0.053056727529961246,-0.06967468598521366
Szeletian,314660.9655054629,291397.6989858255,127987.50152798653,481994.44293868815,0.36363636363636365,0.4225974025974026,0.1256509446524617,0.6,0.8932636474218478,0.8249579113843055,0.8651809126974003
Uluzzian,476180.2835170853,483374.38679568336,313816.8819521854,1321670.013230374,0.4580419580419581,0.4680505692224442,0.1461843712846906,0.8571428571428571,-0.034849853429617085,-0.053201817906398885,-0.07788964027506615
Upper Paleolithic - Africa,2724475.6648007385,2409379.170972191,1714191.776882585,4161852.109141346,0.2222222222222222,0.2764346764346764,0.16452429103226948,1,-0.3943208792720318,-0.16548475682653419,-0.23219520460936813
Upper Paleolithic - E Asia,1162414.370192129,1063840.6699408293,605521.62627038,2987003.8129011,0.4,0.4282789990890549,0.2081875286549867,1,0.0036245966363562237,0.005999950229818646,0.013911176973031925
Upper Paleolithic - Eurasia,2965026.235812311,3192073.456623105,1933991.8212643296,7397346.274935649,0.375,0.397931243429316,0.1779006144343303,1,-0.0010012215646520817,1.0485479760545102e-5,-7.297663280573318e-5
Upper Paleolithic - Levant,368607.4811500823,433560.6488157,301429.5612041748,1336003.6610457937,0.5,0.4935086796019272,0.22662812724893439,1,0.006852553820963043,-0.02840671227424822,-0.0780079454639982
Victoria West,852781.0979151061,577267.2168774132,418605.1881490104,897630.4263221003,0.1428571428571428,0.3071428571428571,0.3874218156806688,1,0.36783116783300857,0,0
