connection,median_dist,mean_dist,sd_dist,max_dist,median_jaccard,mean_jaccard,sd_jaccard,max_jaccard,pearson,kendall,spearman
African Acheulean,2206187.6924178945,2652635.9258287884,2055278.497909869,8046448.297965224,0.5,0.5050736580844929,0.26000684216060377,1,-0.08629991337779676,-0.07356230902718817,-0.10262196890352801
Levantine Acheulean,514321.8316728771,366929.91434047517,338573.9791913259,1681323.8126179264,0.5,0.5272187821312722,0.3052748734711689,1,-0.05514545167174396,-0.02761492430616502,-0.03995053673569604
European Acheulean,1217914.0609406538,1607871.8517124432,1186287.700046004,4103998.2420845176,0.33333333333333326,0.36644436740828235,0.1982324900940469,1,-0.06282309063069239,-0.016055009160835392,-0.01869070962819859
Howiesons Poort,615890.7864717132,665522.726813829,361391.2196631059,1531616.0089890265,0.375,0.3885965077698979,0.17985954590858397,1,-0.11527897664816512,-0.09053699190473607,-0.1250602645418178
Aterian,1431665.4900018862,1313691.4776316946,908408.3584202267,3874021.693840202,0.5,0.49212084682224455,0.20993797580233026,1,0.034746074785478705,0.0450715198382537,0.06665914905568134
Micoquian,579780.3566023369,675009.3689799249,345950.68178733846,1521572.7271994238,0.4545454545454546,0.42595266755102823,0.20906397096898807,0.8571428571428571,0.0017399993802501314,0.0213889408249091,0.023823496699963673
Early Later Stone Age,2017270.101367642,1782661.5362397474,1040937.2665518248,3760752.8988195644,0.2857142857142857,0.3079570266334972,0.1392942353378985,1,-0.026572343834572777,0.07724660312546151,0.10681005198793463
Gravettian,846053.3022843293,950926.2593417786,690089.0399634456,3791709.4075186644,0.4444444444444444,0.43331882815302064,0.20844262692896895,1,-0.08192076118750631,-0.06819191655291344,-0.10052754720106849
Initial Upper Paleolithic,341902.8729034689,1341665.8700495271,1822121.8815867,6283590.299935584,0.4545454545454546,0.4222656330295219,0.20030674583209965,1,0.2027897459316687,0.2951864309501924,0.39854666477748385
