connection,median_dist,mean_dist,sd_dist,max_dist,median_jaccard,mean_jaccard,sd_jaccard,max_jaccard,pearson,kendall,spearman
Between MSA and MP,7773991.901511379,7412902.60767269,1758327.9933977027,13796042.53273465,0.33333333333333326,0.34782227413059164,0.17646648046755778,1,-0.12793521633052257,-0.09373010374205247,-0.1363868059003217
Middle Paleolithic,1776256.6242374207,2165672.9327766527,1711438.918030489,10963048.897454396,0.375,0.3974943337465727,0.1959908363058381,1,-0.002828915232647166,-0.006819751642593128,-0.010033709357805258
Middle Stone Age,1366845.8158773752,1912177.888440701,1592216.8010293639,7657821.664554966,0.33333333333333326,0.3535249588221433,0.18225420219687413,1,-0.037628886632570975,-0.017638831260749506,-0.02537841749888297
